Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Bambous Virieux,MU,-20.34,57.76,77.0,78,40,11.41,shower rain
83,Mitsamiouli,KM,-11.38,43.28,81.18,75,51,13.13,broken clouds
84,Lompoc,US,34.64,-120.46,46.4,93,20,6.93,few clouds
85,Machilipatnam,IN,16.17,81.13,75.2,78,40,5.82,mist
86,Linxia,CN,35.6,103.21,23.04,95,80,3.4,light snow
87,Nouakchott,MR,18.09,-15.98,87.8,10,86,14.99,overcast clouds
88,Hithadhoo,MV,-0.6,73.08,82.53,74,3,11.1,clear sky
89,Hasaki,JP,35.73,140.83,51.8,81,75,11.41,broken clouds
90,Inhambane,MZ,-23.86,35.38,82.4,78,20,10.29,few clouds
91,New Norfolk,AU,-42.78,147.06,57.99,72,42,3.09,scattered clouds
92,Saskylakh,RU,71.92,114.08,-8.95,89,90,6.06,overcast clouds
93,Ilulissat,GL,69.22,-51.1,15.8,52,20,31.09,few clouds
94,Mar Del Plata,AR,-38.0,-57.56,66.2,93,90,11.41,light rain
95,Aklavik,CA,68.22,-135.01,-4.0,83,20,3.36,few clouds
96,Anaco,VE,9.44,-64.47,86.5,61,26,8.03,scattered clouds
97,Upernavik,GL,72.79,-56.15,8.24,78,52,6.53,broken clouds
98,Albany,US,42.6,-73.97,42.01,49,0,5.99,clear sky
99,Moose Factory,CA,51.26,-80.61,5.0,77,1,6.93,clear sky
100,Muros,ES,42.78,-9.06,59.0,88,100,21.99,overcast clouds
101,Georgiyevka,KZ,43.04,74.71,12.2,92,15,6.71,fog
102,Rio Gallegos,AR,-51.62,-69.22,59.0,22,75,32.21,broken clouds
103,Quatre Cocos,MU,-20.21,57.76,77.0,78,40,11.41,shower rain
104,Bela,IN,25.93,81.98,64.13,29,0,1.88,clear sky
105,Sattahip,TH,12.67,100.9,77.0,88,20,4.7,few clouds
106,Avera,US,33.19,-82.53,57.2,44,1,8.05,clear sky
107,Ilinge,ZA,-31.98,27.04,57.65,83,71,8.25,light rain
108,Coquimbo,CL,-29.95,-71.34,62.6,72,20,13.87,few clouds
109,Impfondo,CG,1.64,18.07,77.79,77,100,2.3,overcast clouds
110,Saldanha,ZA,-33.01,17.94,62.6,67,37,10.29,scattered clouds
111,Ambatondrazaka,MG,-17.83,48.42,68.41,81,90,7.27,overcast clouds
112,Westport,US,41.14,-73.36,48.0,45,1,13.87,clear sky
113,Hofn,IS,64.25,-15.21,37.42,78,98,16.8,overcast clouds
114,Catamarca,AR,-28.47,-65.79,99.0,33,17,5.99,few clouds
115,Bethel,US,41.37,-73.41,44.01,48,40,11.41,scattered clouds
116,Sobolevo,RU,54.43,31.9,35.31,86,87,9.46,overcast clouds
117,Boda,CF,4.32,17.47,80.1,44,100,3.71,overcast clouds
118,Asau,RO,46.43,26.4,35.01,80,8,4.23,clear sky
119,Koslan,RU,63.46,48.9,24.37,95,100,7.9,overcast clouds
120,Maragogi,BR,-9.01,-35.22,80.94,68,91,13.65,overcast clouds
121,Alta Floresta,BR,-9.88,-56.09,90.03,53,42,6.38,light rain
122,Banes,CU,20.96,-75.72,84.2,66,40,9.17,light rain
123,Polunochnoye,RU,60.87,60.42,22.42,93,100,7.34,overcast clouds
124,Erenhot,CN,43.65,111.98,9.59,90,49,5.79,scattered clouds
125,Yurino,RU,56.29,46.3,32.0,96,75,11.18,light rain and snow
126,Kaitangata,NZ,-46.28,169.85,42.01,89,0,1.99,clear sky
127,Te Anau,NZ,-45.42,167.72,41.29,90,8,1.34,clear sky
128,Auki,SB,-8.77,160.7,75.9,88,100,4.43,moderate rain
129,Clarence Town,AU,-32.58,151.78,59.0,100,40,1.16,scattered clouds
130,Codrington,AU,-38.27,141.97,52.02,86,42,7.61,scattered clouds
131,Brigantine,US,39.41,-74.36,50.0,45,1,8.05,clear sky
132,Menongue,AO,-14.66,17.69,69.24,85,98,1.19,heavy intensity rain
133,Madera,US,37.17,-119.83,51.01,93,1,1.03,mist
134,San Fernando,PH,15.03,120.69,75.2,73,75,4.7,broken clouds
135,Leningradskiy,RU,69.38,178.42,21.85,97,100,2.98,light snow
136,Faya,SA,18.39,42.45,64.4,88,0,3.36,clear sky
137,Vanimo,PG,-2.67,141.3,75.81,81,100,4.34,overcast clouds
138,Clyde River,CA,70.47,-68.59,8.6,84,90,18.34,light snow
139,Port Hedland,AU,-20.32,118.57,82.4,61,49,5.82,scattered clouds
140,Pangnirtung,CA,66.15,-65.71,5.0,77,75,2.24,light snow
141,Kandrian,PG,-6.22,149.55,78.31,84,100,7.16,overcast clouds
142,Geraldton,AU,-28.77,114.6,69.8,73,0,18.34,clear sky
143,Victoria,HK,22.29,114.16,73.0,83,32,1.99,scattered clouds
144,Hambantota,LK,6.12,81.12,78.66,83,100,13.38,overcast clouds
145,Ancud,CL,-41.87,-73.82,63.0,62,90,8.05,overcast clouds
146,Kyzyl-Suu,KG,42.34,78.01,19.31,76,0,9.46,clear sky
147,Chanderi,IN,24.72,78.13,58.66,40,0,6.64,clear sky
148,Severo-Kurilsk,RU,50.68,156.12,29.98,89,87,29.46,overcast clouds
149,San Jeronimo,PE,-11.95,-75.28,66.09,27,25,2.71,scattered clouds
150,Pinar Del Rio,CU,22.42,-83.7,81.03,68,7,11.16,clear sky
151,Mount Gambier,AU,-37.83,140.77,51.8,93,6,4.7,clear sky
152,Fillan,NO,63.61,8.97,41.0,80,40,10.29,scattered clouds
153,Iqaluit,CA,63.75,-68.51,-0.4,70,75,8.05,broken clouds
154,Camacha,PT,33.08,-16.33,68.0,68,40,5.82,scattered clouds
155,Buchanan,LR,5.88,-10.05,86.0,74,75,6.93,broken clouds
156,Wewak,PG,-3.55,143.63,75.81,89,100,3.47,overcast clouds
157,Qaanaaq,GL,77.48,-69.36,9.86,92,100,3.94,light snow
158,Tuatapere,NZ,-46.13,167.68,43.0,94,6,3.58,clear sky
159,Ouallam,NE,14.32,2.09,86.79,13,2,5.68,clear sky
