City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Maragogi,BR,80.94,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
122,Banes,CU,84.2,light rain,20.96,-75.72,Hostal Iván y yailet
128,Auki,SB,75.9,moderate rain,-8.77,160.7,Auki Motel
129,Clarence Town,AU,59.0,scattered clouds,-32.58,151.78,River Downs Cottage
130,Codrington,AU,52.02,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
131,Brigantine,US,50.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
132,Menongue,AO,69.24,heavy intensity rain,-14.66,17.69,Ritz Lauca
134,San Fernando,PH,75.2,broken clouds,15.03,120.69,Maharlika Hostel
136,Faya,SA,64.4,clear sky,18.39,42.45,مقبرة ال مجمل
137,Vanimo,PG,75.81,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
139,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
141,Kandrian,PG,78.31,overcast clouds,-6.22,149.55,Kandrian Station
142,Geraldton,AU,69.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
143,Victoria,HK,73.0,scattered clouds,22.29,114.16,Mini Hotel Central
144,Hambantota,LK,78.66,overcast clouds,6.12,81.12,Bungalow 63
145,Ancud,CL,63.0,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
147,Chanderi,IN,58.66,clear sky,24.72,78.13,SHRIKUNJ - Hotel and Restaurant
149,San Jeronimo,PE,66.09,scattered clouds,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
150,Pinar Del Rio,CU,81.03,clear sky,22.42,-83.7,Hostal La Colina Dunay y Raul
151,Mount Gambier,AU,51.8,clear sky,-37.83,140.77,Commodore on the Park
154,Camacha,PT,68.0,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
155,Buchanan,LR,86.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
156,Wewak,PG,75.81,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
160,Chuy,UY,84.15,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
161,East London,ZA,66.2,clear sky,-33.02,27.91,Tu Casa
163,Haputale,LK,62.62,light rain,6.77,80.96,Leisure Mount View Holiday Inn
164,Bani Walid,LY,61.03,clear sky,31.76,13.99,منزل الصابر أبوفانة
165,Morondava,MG,82.2,few clouds,-20.28,44.28,La Case Bambou
169,Emerald,AU,75.2,thunderstorm,-23.53,148.17,The Irish Village
172,Manado,ID,77.0,scattered clouds,1.49,124.85,Aryaduta Hotel
176,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
177,Ponta Do Sol,PT,68.0,scattered clouds,32.67,-17.1,Hotel do Campo
178,Manakara,MG,73.9,clear sky,-22.13,48.02,La Residence Manakara
179,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
180,Tiarei,PF,80.6,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
181,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
183,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
185,Chitaga,CO,78.8,scattered clouds,7.14,-72.66,Hotel El Parque
186,Kulhudhuffushi,MV,82.2,few clouds,6.62,73.07,Haajy Guest House 1
187,Koungou,YT,82.4,clear sky,-12.73,45.2,Villa Netibor
188,Marawi,PH,77.0,overcast clouds,8.0,124.29,Derogongan Residence
190,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
193,Yei,SS,75.49,broken clouds,4.09,30.68,City Link Hotel
197,Hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
198,Lagoa,PT,57.31,scattered clouds,39.05,-27.98,Casa Das Faias
199,Sao Filipe,CV,80.29,broken clouds,14.9,-24.5,Tortuga B&B
201,Funtua,NG,81.21,few clouds,11.52,7.31,Elbintu Restaurant And Motel
206,Vredendal,ZA,64.17,clear sky,-31.67,18.5,Tharrakamma Guest House
207,Castro,BR,81.27,clear sky,-24.79,-50.01,CHACARA BAILLY
209,Pisco,PE,70.0,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
211,Agadir,MA,71.6,clear sky,30.42,-9.6,Iberostar Founty Beach
212,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
213,Huilong,CN,53.01,light rain,31.81,121.66,Hilton Garden Inn Qidong
215,Viedma,AR,79.0,clear sky,-40.81,-63.0,Hotel Cristal
217,Cape Town,ZA,64.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
218,Saint-Philippe,RE,77.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
222,Doha,QA,73.4,clear sky,25.29,51.53,Doha Marriott Hotel
224,Valparaiso,CL,75.2,clear sky,-33.04,-71.63,Hotel Ultramar
225,Manggar,ID,78.93,overcast clouds,-2.88,108.27,Guest Hotel
228,Wenling,CN,62.01,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
230,Punalur,IN,84.2,mist,9.0,76.93,Motel Araam
232,Barquisimeto,VE,69.8,scattered clouds,10.07,-69.32,POSADA PARAISO DE LARA CA
234,Poum,NC,76.66,scattered clouds,-20.23,164.02,Gîte kajeon
235,Darab,IR,59.4,clear sky,28.75,54.54,Naghshe shapoor Hotel
240,Bathurst,AU,53.01,few clouds,-33.42,149.58,Bathurst Motor Inn
241,Lebu,CL,61.12,scattered clouds,-37.62,-73.65,Hostal Las Lilas
243,Meulaboh,ID,78.62,overcast clouds,4.14,96.13,Kost Pria
244,Dunedin,NZ,51.01,clear sky,-45.87,170.5,Scenic Hotel Southern Cross
245,San Patricio,US,81.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
