City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Zamora,EC,2020-11-20 01:14:42,-4.07,-78.96,66.22,72,88,4.12
70,Itoman,JP,2020-11-20 01:14:42,26.12,127.67,80.6,78,20,5.82
71,Severo-Kurilsk,RU,2020-11-20 01:14:42,50.68,156.12,33.04,90,100,11.14
72,Aksay,RU,2020-11-20 01:14:42,47.26,39.87,26.6,79,75,15.66
73,Saint George,US,2020-11-20 01:12:10,37.1,-113.58,64.4,25,1,6.93
74,Urumqi,CN,2020-11-20 01:14:13,43.8,87.6,19.4,85,75,3.47
75,Haines Junction,CA,2020-11-20 01:12:43,60.75,-137.51,-13.0,75,62,0.65
76,Balkhash,KZ,2020-11-20 01:14:44,46.84,74.98,9.5,88,0,11.74
77,Jamestown,US,2020-11-20 01:14:44,42.1,-79.24,55.4,30,1,17.22
78,Boralday,KZ,2020-11-20 01:14:44,43.36,76.86,12.2,85,90,2.24
79,Astaneh-Ye Ashrafiyeh,IR,2020-11-20 01:14:44,37.26,49.94,50.54,82,95,2.51
80,Norman Wells,CA,2020-11-20 01:12:32,65.28,-126.83,-13.0,75,5,3.36
81,Mazara Del Vallo,IT,2020-11-20 01:14:45,37.66,12.59,60.8,93,40,5.82
82,Dunedin,NZ,2020-11-20 01:11:41,-45.87,170.5,63.0,66,100,3.0
83,Nakusp,CA,2020-11-20 01:14:45,50.25,-117.8,42.8,56,100,1.12
84,Tura,IN,2020-11-20 01:14:45,25.52,90.22,63.23,89,17,1.81
85,Jining,CN,2020-11-20 01:14:45,35.41,116.58,48.0,1,100,7.96
86,Bethel,US,2020-11-20 01:11:57,41.37,-73.41,42.8,48,1,9.17
87,Ulladulla,AU,2020-11-20 01:14:46,-35.35,150.47,89.01,55,0,9.17
88,Faanui,PF,2020-11-20 01:14:46,-16.48,-151.75,80.22,74,100,8.7
89,Puerto Ayora,EC,2020-11-20 01:14:37,-0.74,-90.35,71.01,93,75,10.54
90,Coahuayana,MX,2020-11-20 01:14:46,18.73,-103.68,87.8,43,5,1.23
91,Beringovskiy,RU,2020-11-20 01:14:46,63.05,179.32,34.52,87,100,8.77
92,Richards Bay,ZA,2020-11-20 01:14:46,-28.78,32.04,67.66,80,92,12.75
93,Tandalti,SD,2020-11-20 01:14:47,13.02,31.87,76.35,27,0,11.14
94,Imbituba,BR,2020-11-20 01:12:25,-28.24,-48.67,66.2,77,75,5.82
95,Gat,IL,2020-11-20 01:13:00,31.61,34.76,64.0,100,0,4.41
96,Vaini,TO,2020-11-20 01:14:47,-21.2,-175.2,80.6,78,75,10.29
97,Nikolskoye,RU,2020-11-20 01:14:47,59.7,30.79,45.0,75,90,13.42
98,Chuy,UY,2020-11-20 01:14:48,-33.7,-53.46,57.63,74,0,5.19
99,Moranbah,AU,2020-11-20 01:14:48,-22.0,148.05,85.15,41,45,19.77
100,Saldanha,ZA,2020-11-20 01:13:18,-33.01,17.94,60.8,67,0,3.36
101,Utete,TZ,2020-11-20 01:14:48,-7.99,38.76,72.45,97,12,0.76
102,Port Elizabeth,ZA,2020-11-20 01:14:48,-33.92,25.57,53.6,93,75,4.7
103,Kushmurun,KZ,2020-11-20 01:14:49,52.45,64.63,16.48,96,0,11.5
104,Howard Springs,AU,2020-11-20 01:14:49,-12.5,131.05,93.0,62,40,3.36
105,Komsomolskiy,UZ,2020-11-20 01:11:09,40.43,71.72,17.6,67,0,4.7
106,Bang Saphan,TH,2020-11-20 01:14:49,11.21,99.51,84.99,94,75,1.12
107,Mungwi,ZM,2020-11-20 01:14:49,-10.17,31.37,66.58,80,21,2.77
108,Meulaboh,ID,2020-11-20 01:11:56,4.14,96.13,78.64,82,41,5.44
109,Mayskiy,RU,2020-11-20 01:14:50,47.69,40.1,26.6,79,75,15.66
110,Pangnirtung,CA,2020-11-20 01:12:56,66.15,-65.71,12.87,91,98,4.85
111,Athens,GR,2020-11-20 01:14:30,37.98,23.72,54.0,66,40,9.17
112,Marystown,CA,2020-11-20 01:14:50,47.17,-55.15,34.0,100,62,7.0
113,La Carolina,ES,2020-11-20 01:14:51,38.28,-3.62,60.01,58,0,1.01
114,Marathon,US,2020-11-20 01:14:51,44.9,-89.77,48.2,70,1,4.68
115,Anqing,CN,2020-11-20 01:12:43,30.51,117.05,58.86,72,5,11.9
116,Asosa,ET,2020-11-20 01:14:51,10.07,34.53,65.91,58,0,2.55
117,Formosa,AR,2020-11-20 01:14:51,-26.18,-58.18,73.4,64,0,3.36
118,Joshimath,IN,2020-11-20 01:14:52,30.57,79.57,35.78,49,0,7.05
119,Vychegodskiy,RU,2020-11-20 01:14:52,61.25,46.9,38.32,79,100,17.74
120,Porkhov,RU,2020-11-20 01:14:52,57.77,29.56,46.4,75,100,20.13
121,Vostok,RU,2020-11-20 01:14:52,46.49,135.88,22.6,98,100,5.53
122,Longyearbyen,SJ,2020-11-20 01:14:52,78.22,15.64,17.6,67,75,11.41
123,Sorong,ID,2020-11-20 01:11:43,-0.88,131.25,82.8,78,2,3.69
124,Kulhudhuffushi,MV,2020-11-20 01:14:53,6.62,73.07,81.77,77,85,8.99
125,Arraial Do Cabo,BR,2020-11-20 01:14:53,-22.97,-42.03,72.28,88,100,24.99
126,Codrington,AU,2020-11-20 01:14:53,-38.27,141.97,62.53,75,100,10.96
127,Hailar,CN,2020-11-20 01:14:53,49.2,119.7,14.9,88,100,5.84
128,Pedasi,PA,2020-11-20 01:14:53,7.53,-80.03,78.03,86,97,13.6
129,Sao Joao Da Barra,BR,2020-11-20 01:13:01,-21.64,-41.05,74.5,91,99,21.23
130,Itarema,BR,2020-11-20 01:14:54,-2.92,-39.92,79.48,81,74,12.66
131,Keita,NE,2020-11-20 01:14:54,14.76,5.77,69.8,28,0,4.7
132,Kieta,PG,2020-11-20 01:14:54,-6.22,155.63,86.05,63,91,4.27
133,Ambulu,ID,2020-11-20 01:14:55,-8.35,113.61,84.49,71,23,0.83
134,Keti Bandar,PK,2020-11-20 01:14:55,24.14,67.45,70.59,48,6,7.72
135,Viedma,AR,2020-11-20 01:10:24,-40.81,-63.0,70.0,54,0,1.99
136,Moose Factory,CA,2020-11-20 01:13:17,51.26,-80.61,37.4,86,90,12.75
137,Nouadhibou,MR,2020-11-20 01:11:25,20.93,-17.03,71.6,73,0,13.87
138,Luderitz,NA,2020-11-20 01:14:56,-26.65,15.16,60.44,74,0,9.66
139,Padang,ID,2020-11-20 01:12:34,-0.95,100.35,79.25,79,100,2.68
140,Avarua,CK,2020-11-20 01:11:24,-21.21,-159.78,80.6,78,23,9.17
141,Mahebourg,MU,2020-11-20 01:14:56,-20.41,57.7,69.8,88,75,8.34
142,Carnarvon,AU,2020-11-20 01:12:33,-24.87,113.63,73.4,60,100,21.92
